CSAT Score,cleaned_remarks
3,slow lots doubts representative many things grocery get returned refund available said
1,process gap executive
5,make sure correct orders get delivered
5,thanks
3,not happy shopzilla worst experience till date customer representative said phone exchange not done due logistics issue reason not mentioned problem shopzilla end end consumer bear consequences need improve customer service transparency policies
5,may need frequent conversations new startups selling products platform may need track support service related issues
5,refund policy
4,good customer support first hand information provide customer immediately
5,voice connectivity extremely poor lot echo automatic repeat words digital disturbance noises jitters
1,poor
5,executive polite addressed concerns made sure check see everything resolved wasgood service thank
5,outstanding
5,thank understanding problem give solution time
5,helpful agent team managers get agent like
5,issue need contact customer service busy pls app easy comfortable
5,wrong product delivered scared make orders shopzilla
5,well done
5,nice
3,excutive customer support always ready
1,not supportive customer care
5,return policy bad scant shopping shopzilla future
5,helpful
1,tv farzi sab
5,thank
4,good
5,nice
5,no
5,thank
4,return request getting auto canceled three times please avoid refund amount
5,im happy customer service thanks
5,best experience provided shopzilla customer service
5,difficult hear staff either microphone not efficiently working network issue
5,osm call support
5,delivery check products properly not delivered wrong item like defective broken ordered allmost 50 order orders delivered properly others defective using sometime not working properly
5,good job
5,talk shopzilla staff time rude talk time shopzilla staff sweet understanding love nature thanku kind sweet
1,query not solved
5,customer able change registered mobile number even old number lost
1,every time make fool us
5,thank miss resolving issue
5,really nice solved problem nicely thank much
5,sheenesh handling problem well say something
5,good working shopzilla team
4,return request done delivery partner not picked order request return automatically cancelled shopzilla not good thing customer like one please make sure type issues not occur
1,received product still delivery boy shown delivered see communication gap status updated
1,ghatiya log h shopzilla vale
1,trying make fulis peppers
2,creating issues taking complain working complain completely different teams sync level customer dissatisfaction customer however working not goal creates frustration customer slowly loose faith company
4,someone write need call system respond immediately
5,thanks took 4 hrs reach customer care
5,excellent
5,good
1,good
5,good
5,nice
4,items missing bad taste customer need material pls work avoid issues spoiling reputation brand
5,customer support executive kind hearted
5,good help
1,shopzilla costumer support bad not capable resolve concern please improve service fool people ordered products 27 july 2023 4 5 days shopzilla sent message order cancelled shopzilla sales like irritating much uninstalled shopzilla app shift superbuy
5,ok
5,good
3,money deducted order not yet confirmed
5,thanku supporting
1,deliver product time
5,good
5,helpful support thanku shopzilla
3,one item fortune mustered oill missing refund asap
4,sell company defective items
5,customer service good
1,bad service customer relative not problem resolve
1,wen u assign deliver partner return make sure wishmaster agents shud du responsibility not instead saying not capable taking item take return even ur app flaws u shud specify tu agent wat product tu tke frm custo er cmng door seeing product says trolley part hvng two wheeler u shud call customer care wat
5,excellent
5,nice person
5,sellers no return policy sending incorrect products incorrect size poor quality products customers please strict rule sort take action
5,thanks
5,food
5,nice help sir
1,mivi policy not transparent customer
5,good
1,muzammil46
1,bad
5,good
4,return policy refurbished need
5,good woman manjileka
5,great services
5,good service
5,sweet
5,good thanks
5,thank shopzilla thank shopzilla customer support
1,bad service
5,good communication skills
5,good
3,not sastify service answers
5,thanku maim
4,no
5,happy
5,thanks
5,super
1,samal kushwaha
5,good communication
1,try sell authorized products duplicate product seller platform
5,ache krke
5,good
5,good
5,good behavior
1,not good
5,like talk guy humblethankyou much appreciate
5,nice person
5,issue still continue
5,cancel order
5,thankyou
5,nice good cosumer support
5,please not work bad sellers send wrong items fake products
1,treated badly canceled order taking order bad practice towards customer bad usage not taking anything else
5,doubts solved thak sir
4,good best amount not credited account
5,love voice preety please upgrade post manager shopzilla person helpful thanks brother
1,inefficient resolution mechanism
4,thanks team
5,nice
5,osm
5,good person
5,good service
5,good
4,need exchange option clicked reject mistake exchange confirmation
5,issues resolution fast
5,costumers support team good
1,wrost service nobody resolvoed without deliverying product delivery agent updating product delivered absolutely wrong data leakaging without asking pin updated like shows till date unable connect also
5,fraud company shopzilla company
5,tq
5,amazing customers support poor proceedings
5,good communication expect solve asap thank
5,executive good professional resolved query unable address doubt fk services overall good
5,good
1,ordered 27th expected delivery 29th put delivery 30th no call gets undelivereddelivery agent confirms address 31st pick call marks undeliveredon 1st gets undelivered without callon 2nd gets cancelledyour called senior support agent absolutely horrible even ridiculed pronuncing name end rating service not service pathetic agents terrible service experience
5,satisfied conversation miss regarding issue thanks
1,aplog apan system may sudhar laya nahyto bohat jald apna dukan band
1,bad service
5,ok
5,good
4,good experience shopzilla
5,
5,thanks shopzilla
1,mera parcel cancel kar diya
5,happy customer service
5,good mam
5,good
1,give option faster delivery
5,good voice
1,shopzilla fraud h customer ko gumrah h
1,received product one two frustrated please understand frustration not directed personally rather lack attention assistance customer service representatives believe reputable company like prioritize customers work towards resolving issues promptly effectively sincerely hope consider situation utmost urgency help restore faith company commitment customer satisfaction expect timely response email tangible resolution problem thank attention matter
5,recently talk customer support service behaviour employee soo polite mannerful hats man thanks solving problem stay blessed
5,vary good
5,try fix delivery hours uncertain delivery person arrive whole day sometimes arrive busy hours becomes difficut receive order recepient informed approximate delivery time
5,like chat bot
5,plz refund immediately
4,nothing
5,look scarcity clarity coustomer problem solutions take much time please make easy customers make helpful customers thankyou
5,thank sir
1,front end support executives know ask solution
5,mujhe baat kerke achaa lga
5,no
5,good
1,good
4,thank ji
5,nice service
3,shopzilla poor service provider
5,nice customer service
1,disgusting worst not solve problem customer support executive talk unmanned way
5,thank
5,good interaction executive
4,thanku
5,good
5,everything ok
1,product cancelled without information got feed u rehected delivery
5,shopping made easythanks shopzilla
1,order show delivery 2 days made full payment advance show delivery 4 5 days today receive order delivery agent not received call totally useless services never order shopzilla
1,sir ordered two libas kurtas wrong product send seller parcels per complaint one parcel showing refund want total money two parcels
5,thanks shopzilla
4,nice
5,thank mam
5,good
4,please make product tracking system contact number every handover consultant
5,kafi achha se mujhe jankari deya jadon hi team mere problem per work diya
5,delivery boy rude behavior
5,good experience
5,good service
5,good experience shopzilla
4,thanks
3,customer executive polite skillful really not disappointed shopzilla sellers post delivery service
5,not okay product
5,maintain product quality
5,product must trustful worthy
1,issue not solved
5,nice guy
5,good taking good behaviour
5,best app shopzilla
5,good jobs
5,please resolve issue
5,fast action pls
5,allow directly cancel order
5,good listener polite behaviour
1,refund related policy
5,nyc good man talking bout
4,good knowledge
4,thanks
1,call disconnected
4,thank
5,good
5,awasome
1,everyone make fool shopzilla
3,issue going 48 hours still unresolved
4,close online grocery store restrictions buyings
5,good
5,excellent performance
5,nice talk miss lil long conversation make smile face resolution thank
5,solve issue soon possible
1,not solved issue
5,good behaviour costomer care
3,fine
5,nice service
1,problem solve thank costumer service
1,issue refund immediately
5,good
5,thanks
4,return policy slow bad
5,helpful call thanku team
4,thks uuu
5,super everything
5,good experience kindly talk thank
1,give proper answer specific enquiry customer instead generic answer
1,no solution no replace boat airbuds 161very bad service boat shopzilla
5,good
5,baat karne ka tarika bahut achha h mam ka
5,happy take customer support team
5,no
5,na
5,duty customer care people help customers duty well thank shopzilla helping us
4,good
5,no
5,supportive thank
5,good
5,customer care madam good person solve issue
1,not proper information time teking
5,thanks
1,not sporting
5,apse baat
5,thanks
5,nothing solve issue returning related
5,good behaviour
5,excellent communication
5,thanks
5,good
4,shopzilla bad app online shoping pardcut not good problem not solved
1,u2019t deliver wrong products deliver products customer ordered
5,nice
1,bad
1,issue vacuum cleaner not yet resolved extreme delay delivery product kindly provide concrete solution earliest
5,nothing
5,good
5,
5,comfortable
5,mam aapse baat karke bahut axa lga full help aapne thank mam
1,problem not resolved
5,make delivery fast take 7 10 days even smaller products get delivered chhattisgarh state capital raipur
5,good
5,good
5,no
5,good
1,one assist protection plan invoice not available shopzilla
1,worst service
4,bhut good hai shopzilla ko thankyou
5,thanks
1,solution not provided
5,polite
5,good
3,provide honest delivery staff
5,customer care services good
5,no suggestions shopzilla always giving best services look packaging doubt packaging time things not order order id
5,thank sir
5,good
4,nice
5,thnkyou
5,customer service
5,loved shopping shopzilla
5,good
5,nothing
5,good supports shopzilla team
3,delivery agent didnt contaceted customer says customer rejected product qnd cancelled order placed without reaching customer highly unethical delivery agent giving false statment customers shopzilla make stronger policy take care kind issues customer faces delivery agent
5,costomer care agents behaviour nice
4,na
5,good solution
5,nice
5,today talked support executives 1st one rude lack knowledge misbehaved instead solving query disconnected call side 2nd one helpful supportive professional feedback 2nd executive
5,please put order botton option front app bottom aap
1,good experience taking
2,placed wrong return giving details disappointing
5,good
5,thanx happing nice person
5,query not solved knew value feedback much dsat gave dent agent not satisfied take begging
5,quick possible sutout matters
5,thanks
5,happy shopzilla costmer care
1,order no rifand no return
5,good
5,ni
1,not available pin 127021 grocery
5,thnx
5,good talk u
5,good
5,nice customer service
4,good
1,put hold 20 minutes
5,good
5,customer care agent good services shopzilla compny no good
5,happy got call customer service customer service boy understand problem help solve problem thank shopzilla
5,good
5,no
5,helpful
5,thanku
5,time guys making c called useg charge
4,happy
2,not
5,strong action taken fraud delivery agents
1,customer executive giving wrong information
5,good
5,issues thoda jaldhi solve ho jayege bda achaa
5,nothing
5,good
5,excellent
5,good
5,no
1,return issue taken 7 days still pending disappointing
4,ok not much ok lets see solve problem
5,great
3,customer cayaring
4,good
5,supuer service
5,great job customer excutivei happy
5,good
5,nice
5,good
5,thank much shopzilla helped well today thank much
5,since 2018 se aj 2 nd time delivery boy ne rude behave really upset
5,gud
5,good jobs
1,issue not resolved yet facing much trouble know executive disconnected call communication
5,customer care high authority good polite solve problem good effective manner provide accurate information quaries
5,agent polite helpful
5,thank resolving issues voice amezing thank team
1,disappointing one product buy product told help go somewhere else help not done put case regarding
1,not resolve problem
1,bed experience shopzilla
5,no
1,worst experience ever giving answers giving next date
5,good
5,shopzilla poor service provider
5,5
5,good
5,thank
1,bad service
5,good
5,best customer support
5,delivery boy begs always extra money delivery product
5,need return product received july 1 request return day not yet done
1,refund not received
1,bad behaviour
3,want pick product soon refund hard earned money
1,sometimes felt talking startup company many loopholes customer service people shows dont know anything backend team like govt employee govt bank dont know many times call guys issue shopzilla future dark better learn superbuy handle fix issue time
5,good
5,nice delivery
5,good customer support
5,good
4,please make changing registered mobile numbers much simpler not everyone access old phone numbers
5,ensure enforce policies panelize sellers list products properly incorrect description misleading images
1,issue not resolved past 15 days
5,thanks support
5,thanks slove problem nd customer service also good
5,nice excellent
5,nice
5,happy shopzilla shopzilla customer service
1,order not delivered today
1,nothing resolved
5,good consultant
5,good experience
5,nope
5,nyc
5,thank
5,please provide genuine product customer thank
5,good person
1,no need poor supporting customer
5,highly appreciated care full support better experience customer
3,recieved wrong product not able return
1,no manners
1,delivered product time
5,thank mam
5,good
1,nothing
5,right not mind
4,nice talk customer agent
5,right ride airbuds no pairing mobile right side airbuds range connected 1 range please return order
5,good
4,good
5,good
5,consultant polite sincere hearttouching
5,good
1,not good
5,wrost customer care executive not interested resolve query timeeeee passss share executive
5,good
5,issue resolution time reduced
5,good
5,no thanks always love app
5,good
4,great give good rating problem resolved give big thanks
4,tired contacting customer service executives not resolving issue contacting multiple times
5,really great problem solved fingertips great girl may bless youuu
5,good
5,good
5,polite person nice talking
5,good
1,bad costomer servicereceive damage produt3 time return requestbut not accept returnapproval bad experience shopzilla shopzilla cheater companyi file case custmor courtagainst shopzilla
5,thank miss apurva
5,good
5,good
4,good support
4,best
1,not intention resolved complaint
1,bastard executive third class service shopzilla
5,best platform shopzilla
5,awful half items order goes missing plus effort reach customer support delivery executive another level never going waste time money shopzilla ever last lady ky person amongst last 3 4 calls could atleast refund money
1,fault shopzilla delivery issue suppose compensate customer not gone work delivery scheduled guys call email not getting delivery worst service ever posting call recording order details let see world say
1,customer cut call not resolved problem
5,good
2,service centres closed per google no updated information related closure service centers kindly needful today hassle find service centre
5,iam happy
3,done
5,good
5,thanks
5,double check quality product listed platform time descriptions not matching
5,problem solved conventional rare piece
5,good
5,good
5,nothing say worthless services seller point
5,thank customer care executive
3,shopzilla
5,love mam
5,good
5,happy resolved problem quickly thank
5,support customer good
4,worste experience faced shopzilla app
1,not good
5,good service
1,tried much time problem not solved till
5,ok
4,item not refunded
5,e
5,ok
1,poor
1,problem not sholw
5,every thing best
1,problem not resolved per assesment customer care no power resolve issue file consumer case
5,customer care sir baat ko solve kiye main aap ko 100 se 100 nomber deta hun
5,please delevry every order timely
1,worst
4,ok
5,delay study material items
5,satisfied
4,thanks support
5,good condition
1,good behaviour
5,nice talking
4,good
5,thank
4,gud work gud product gud product delivery work gud packaging gud customer service
5,thank rakhe
5,girl sweet customer friendly polite nature
5,refund details enhancing wil greatful
1,shopzilla make fool people looted hard core money shopzilla fraud
5,good customer relations
2,no
5,thank shopzilla
5,no
5,good
5,sftsfseg
1,bad service never dreamed
5,resolve problem immediately otherwise file case
5,nice parson
5,customer care good problem not solved yet
5,nice
1,need answer specific question customer instead stating u2018 truly understand concern u2019
1,senior executive not trying help says casually sir please wait proving solution wan na listen thing thing word wait poor system shopzilla capability deliver order time given assured delivery anything earlier cancel one order shopzilla end second time procedure pathetic system worst system
5,nyc
5,nice one
5,sellers deliver product shown shopzilla often received different products product different colour
1,people resolved issue product damage please return technician coming bajaj service center said product damage please return soon possible
2,return issue plzz solve problem
5,good communication
5,little bit anger arguement overall give good rating know u improve best luck
1,no comments
5,please give customer support bengali language really helpful
1,customer according program work
5,good
5,good
5,thank
5,really happy talk product problem
1,poor
5,thanku customer support executive solved problem
1,feedback not executive shopzilla not ordered order superbuy u guys delivering one day prior superbuy completely delay 3 days not acceptable needs understand things ordered get time due priority long time ordered shopzilla u guys disappointed completely using superbuy due quality service far better shopzilla
5,good thanks
5,good solution provide staff good gesture keep
5,thank
4,not return exchange offer must order verification seller quality check must done let sell things many us issues getting wrong less products shopzilla needs checked sellers sending wrong products customers banned people loosing trust shopzilla something move something else thank
5,thank ji assistance thanks ton
1,disappointed customer service nobody solved problem
4,issue not solved women bawli dupatta set delivered return 2 month not send refund request haliyal branch manager say refund sending plz
4,good
5,good response
5,good customer service
5,kindly take actions delivery executives mentioned wrong disagreed recieve order cancelled order
5,good
5,still not resolve problem
5,communication skills good
4,good
5,ok
5,focus delivery things product delivered let duo date
5,thank much boz strongly believe shopzilla policy
5,nice talking u mansi
5,good
1,worst seller recently experience recent orders
5,good
5,good customer care service
1,bad experience shopzilla never expected
3,change delivery agent cancels orders whim fancytrace delivery boy contacted two days says definitely delivering cheeks cancel order create system black dot performance delivery agent needs check canceling order make system cancelation done customer case delivery agent shbe able otp customer 3 4 time happened mefor doings go process reordering preposterous
5,good
5,executive sweet helpful
1,refund process not good team shopzilla
5,good support
5,nice effort executive
5,ok
5,thank
5,thnks
5,ensure product seal dispatching
5,pay full payment item get item delaying week major issue deleyed delivery item kind critical medicine not happy delayed delivery try deliver item soon possible
1,problem not solved last time customer executive say please hold call not fulfill complain
5,good
5,excellent
5,product wholly dead sing long not replaced yet expect better response shopzilla
5,5 star rating
5,excellent
4,plz provide genuine product
4,thank
1,problem not sloved2 month finish already
2,kindly work return pickup lot postpone issue got fed repeated process
5,delivery boys behaviour
5,good information
5,thank
5,customer care representative polite conversation get completed disconnected much unhappy product delivery delivery boy attitude taken 2350 rupees words give office without payment accept old mobile give cancel product
5,nice performance
5,thanks
1,not satisfied
5,good job
5,good interaction
4,please issue resolved time bond acceptance customer service
5,good
5,nothing
5,customer executive polite resolved issue
5,every good happy good excellent service provided
5,service outstandingsorry say application fill hona chahiye ki aap ka product delivery hone k 24 hours aap ki application invoice download ka option aa jayega taki dhoondhna na apde morning se dhoondh hu sorry mind customer service representative ne kaha uske baad pata 24 hour show hoga option
5,good
5,super se bhi jii
4,avoid fraud distributor
5,nice good answer
5,realy impressed customers support service
5,interacted nice customer executive far great experience shopzilla thank
5,good talking
5,good
4,problem resolve fast
5,online not talk
5,invoice not available mattress purchased march 2022 big lapse shopzilla
5,thank much ji
5,please send good delivery partners
5,good
5,thank
5,thank supporter costmer
1,much disappointed behavior shopzilla track record plus member matter matter policy mask fault customer executive delivery executive customer accused already written complaint product broken word defective highlighted basing til date customer care still misleading open box allow replacement customer care approveokvereplacement
5,good customer policy
5,not send wrong product not matching ordered product
5,shopzilla goodand costume care help nice
5,nice
1,worst experience talking customer support put call hold nothing hope improve future
1,bad
5,nice
5,good
1,not work shopzilla worker
3,thanks
5,please provide download invoice button
5,happy
5,thank
2,plus member time bitter experience shopzilla delivered product fulfill expectations small size looks duplicate also want return get back money kindly make arrangements return get money back
5,super
5,good
5,good response customer service
5,good service
5,good think
1,must rethink policies made policies not customer friendly installation paratners pathetic asking extra money threaten customers telling not install product
5,shopzilla thank much customer service good information
5,good
5,good help
5,good
5,hihappy
5,exilent
5,use full issue
5,good service
4,please provide good product not faulty
5,reduce time resolve customer problem
5,ok
5,aa
1,not shopping shopzilla u2026 not printer accept
5,good customer service excellent work seller chatting
5,good
5,good
5,excited problem prevent nd support
4,good
5,happy
5,excellent work
1,bad
5,delivery agent number visible order details
3,two cancelled orders one addressed
5,overall shopzilla good case not replacing product mi product not good
5,happy solve problem thankyou much sir
5,good soon possible please solve return related problem wallet
5,thank much helping
5,humble person
1,not ready listen query trying convince everything right
1,dont buy prodect shopzilla
5,help ful
5,danish supportive people good like amazing costumes sopport
1,customer service associate reading given script like robot used skills solve problem also told cancel order
5,good man
5,thenks
4,shopzilla customer care support good executive understood problem fix issue reason issue bad quality product defective
5,good
5,good help
5,
5,last time talked person lovely manner friendly thank sir
4,right information good wehavear
4,plz solve problem want refund back
5,change policy returning product atleast customer requires 1 3 days return exchange plz provide flexibility returning policy
1,not helpful shopzilla customer carenot solved problem
5,thank much
5,5
5,excellent
1,bad service order jicks underwear reserved defarent colour defarent barend shopzilla pathetic service
1,writing feedback immense frustration disappointment abysmal customer service experience encountered dealing one agents truly disheartening see company stature fail miserably resolving simple customer issues providing basic information let begin stating rather straightforward inquiry regarding recent purchase dealing agent nothing short nightmare agent interacted displayed complete lack knowledge understanding issue hand seemed either inadequately trained simply uninterested assisting not agent unable provide useful information attitude also dismissive unprofessional showed no empathy towards concerns treated problem insignificant deeply distressing loyal customer shopzilla quite disconcerting incompetence exists within customer service team especially considering customer support backbone successful business lack proper training guidance evident reflects poorly shopzilla commitment customer satisfaction moreover agent failure resolve issue exacerbated frustration absurd despite multiple attempts seek assistance still left dark without resolution expected much higher level service reputed company like shopzilla feel utterly let experience not wasted time also tarnished perception shopzilla reliable e commerce platform clear company needs invest significantly improving customer service processes ensuring agents adequately equipped handle customer queries issues effectively seriously contemplating whether continue using shopzilla future purchases unpleasant experience eroded trust brand sincerely hope feedback serve wake call shopzilla take immediate action rectifying customer service shortcomings conclusion urge shopzilla address matter urgently implement measures ensure appalling customer service not repeated future loyal customer deserve better treatment hope shopzilla live expectations set
5,quick call castomar costomer ask help
5,thank
5,satisfied
5,way understanding good
1,order not received
1,avail bank discount offer even showing website product page
1,return
3,ys
5,ok
4,good
1,customer exicutive not receive call full day
5,thank shopzilla customer support
5,good
5,hi
5,believe mr responsible knowledgeable people talked earlier including senior staff deserves senior position person talked earlier senior person
4,good
1,one worst customer service sadly give comment asked return refund supervisors also failed answer question one supervisor wantedly heard voice ignored unable hear anything end hung pls check take actions
1,shopzilla 6th july 23 said product manufacturing defect replace top bottle water leaking station 15days came fill water found issue replacement item issue earlier return period shopzilla plus member 5yrs hereby requesting please return defect product refund money attaching screenshot reference regards
5,thanks
5,5 star customer support
4,excellent
5,best
5,thanks
5,pickup driver come 1 min afte costomer care call cut product returned 1 min costomer care call
5,please update customer support number shopzilla mobile app
1,please try using superbuy customer support shopzilla learn lot superbuy area
5,super support shopzilla aapka bahut
5,thank
5,good
2,need proper feedback no repeating known information executive
5,no issue service good
5,thanks sir
5,nice shopzilla
5,low quality product available shopzilla plz available quality product
5,customer supporting best
5,good
5,good
5,nothing good shopzilla awesome
5,5
2,first time experience
1,scammer given used broken smart phone wasted 50 000 rupees broken product shame even resolve request
5,good not problem
4,customer care baat karke dhanyvad
1,need kind help product
4,cancel order place order successful date confirm pehle customer ne order baad saler ne cancel kar diya inform kiye koi rigen diye
5,please take action complain customer feedback
1,disappointed support shopzilla product not return replacement even replacement policy within time frame asking contact ifb resolving shopzilla customer product within policy period no support shopzilla
5,good respond thanks shopzilla
5,shopzilla good worker not good
3,concern still not solved
5,thank
1,bakwas delivery
5,sir nolage good guidance speaking good problem solution
1,thanks
1,refund ammount transferred shopzilla wallet without confirmation
5,thi
5,best customer care talking wd friendly solve issue without failure thnk u much
5,good
5,thnx
1,pathetic way sime query handled
4,sake utna par
5,customer support good
5,thanks supporting please resolved issue asap
5,great customer care
4,thank
5,good
5,nyc
5,thank
1,questions no solve
5,good
5,thank sir
1,stop talking like robot customers actually help
5,good
5,thank
1,not resolve issue till
1,thanks shopzilla
4,tnq
1,no no problem nice talk customer care service nice experience
5,tqq sir good helping
5,really thank support resolution given shopzilla executive appreciated work resolution
5,overall good experience n
5,customer care person talk geniune nice
5,ai
5,need calm good communication
1,avi tak delevary kyu nahi kiya hai
5,baat karke bahut
5,return pick poor
5,excellent
5,done payment
5,goood
4,thx
1,worst experience shopzilla services
1,call hold nahi karna chahiye
5,excellent
1,pathetic service
5,thanks
5,good
5,excellent
5,god
5,good
5,replace shoe soon possible
5,helping
5,sweet person thank shopzilla
5,really appreciate customer support service
1,not good
5,give delivery time
5,
5,nahi
1,amount deducted order still pending
5,helpful
1,not solved issue
1,bad service call disconnect time loss please shopzilla aise service providers socha nhi th
4,shift bhi
1,not helping behave rudely
5,nice work site sir hope genius person shopzilla company good workers thanks question slove
5,inlist unathenticated sellers shopzilla refund not matter time valuable money trust shopzilla getting effected
4,speaker fast explaining points difficult catch one go
3,niche
5,nice
5,na
5,
4,good soling problem
1,customer care executive iresposible first take call answer call 10 minutes playing irritating songs time call answer call simpy ask customer not audible mad line 15 minutes listen not audible want raise complaint executive give details
5,excellent
5,cere good ans
5,thanks
5,bhaayya bohat helpful thee
5,good job raza
5,nice
1,call disconnected completing
4,kindly reduce time resolve issue
5,mr understanding knowledgeable person patient whole conversation tried best solve thank much time efforts good day
1,seems cheating case end delivery team shopzilla put daikin split ac exchange item picked claim supposed pick window ac
4,good
5,good customer care services
5,excellent services thanks
3,better solve issues within days
1,bad experience
5,thnq
5,good
1,no one helped
4,full customer support
5,customer support good not solve issue
5,good service
1,poor service
1,shopzilla wrost deliver service 8 product not deliver shopzilla superbuy good delivery service
5,good
1,return order
5,veery goods
5,good
1,chutiya log
5,good
1,shopzilla bad online app
1,shopzilla wasting time make us talk uneducated customer care executives know anything well action resolve queries waste time putting call long holds
1,bad
5,wery good costomer sports good help
4,cancel order automatically concerned order
1,poor performance last six month shopzilla
5,thanks
1,u2019s no help support system tell u2019t receive total grocery product no response
5,return bahut catmar skutive help e h
5,everything good
5,good issue resolved
5,zubis good understanding good communication customer
4,good
4,thanks
1,poor service call disconnect middle service poor
1,process sucks deliver order idiots
5,shopzilla customer service good thank shopzilla
5,return item
5,humble sweet
5,please tell seller recheck product packing give open box delivery doorstep save time effort thank
5,helpful staff
5,voice sweet
5,thank much
5,effort required resolve issue
5,please try hurry regular customer
1,ur providing worst service
5,iam happy
2,bad behaviour courier surface boy im angry behaviour came delivery
1,iam happy
5,awesome executive
5,really nice
5,good
5,good work
1,poor bad shame full
5,waiting period also resolution time period
1,ka product muje bhej diya
1,chutiya
5,satisfaction
5,good
5,good
5,polite executive helpful concern addressed properly resolved well
5,no
5,thank much support
5,good respected girl
3,please share confirm information customer
5,customer service brilliant
5,thank
1,bad service
5,tq medam
3,make dealers sellers supplier including full delivery chain become honest responsible items delivered
1,poor
5,ap baht aseho good
5,customer care talking good pickup bay bad behaviour missbehaving
3,good service
5,customer support helpful
5,not queries
5,
3,please order product
1,check
5,telugu customer service not working
5,calls getting disconnected no call back disconnect call
4,good
5,atleast send right products not different missing accessories model
5,
1,bast
5,loved
5,good
5,please remove minimum quantity order 2
5,complain raise
5,excellent work
5,instruction customer care persons not put call hold 5 minutes
4,good
5,super
1,contacted customer support lot times till date refund not credited account
4,good
5,good
5,good conversation
5,good
3,try take ownership resolve problem
5,good
3,could not share issues job card shopzilla customer care executive guided pl help
5,thank resolving issue
5,malayalam language executive
1,shopzilla sucks
5,nice good
1,waiting phone 20 minutes issue u2019t resolved
5,helpful
5,best service
1,no
5,exicutive good always prefer talk male agent apart female agent less knowledge much talkative one excillent
5,excellent
1,bad service product cancelled seller without permission customer care tells product delivered tells wrong information
5,good
5,good information
5,happy
5,nice
5,
5,
1,poor service
1,delivery partner pin code 847405 bad cancel order without permission want order pay
5,good person
5,excellent
1,two not received order painful
5,good conversation mr listened problem well gave polite solution
4,good service
5,good
5,coustomer first
4,no thanks
5,good
5,query resolved
5,good
5,amazing care coustomer
1,put call mute not transfer supervisor
3,thanks
5,talked nice
5,good
5,good
5,tushar really helpful wish best buddy 10 10he really humble patient communication skills human touch amazing please send feedback regards kshitij
5,good
5,nothing awesome
2,broken hard write anything constructive
1,please remove shopzilla vendor service
5,good
3,not satisfied
1,no order infromation received
5,customer support nice
5,nice meet u
